address,price,bed,bath,floorArea,propertyTape
"3 Brookfield Close, Riverstown, Co. Sligo, F52XC63",275000.0,4 Bed, 4 Bath, 125 m², Semi-D
"10 Brookfield Close, Riverstown, Co. Sligo, F52AP02",250000.0,4 Bed, 4 Bath, 105 m², Semi-D
"Castlegrange Ardtermon Strand, Ballinfull, Co. Sligo, F91HR70",795000.0,3 Bed, 2 Bath, 84 m², Detached
"Springfield, Ballincar, Co. Sligo, F91WY23",495000.0,4 Bed, 3 Bath, 152 m², Detached
"Tawnymucklagh, Monasteraden, Ballaghaderreen, Co. Sligo, F45XD37",139950.0,2 Bed, 1 Bath, 56 m², Detached
"123 Rathbraughan Park, Sligo, F91X5N2",85000.0,3 Bed, 1 Bath, 74 m², Terrace
"Aughamore Far, Sligo, Co. Sligo",130000.0,0,0,0,0
"Knocknagroagh, Drumfin, Co. Sligo, F52X983",180000.0,3 Bed, 2 Bath, 157 m², Detached
"2 Pebble Beach, Enniscrone, Co. Sligo, F26AX70",275000.0,3 Bed, 2 Bath, 72 m², Semi-D
"Altans, Templeboy, Co. Sligo",40000.0,0,0,0,0
"7 Mail Coach Road, Sligo, Co. Sligo, F91K24V",290000.0,3 Bed, 1 Bath, 102 m², Terrace
"22A Woodstream, Coolaney, Co. Sligo, F56YR72",225000.0,3 Bed, 2 Bath, 102 m², Semi-D
"16 Oceanwave, Aylesbury Park, Sligo, F91A8P8",395000.0,5 Bed, 3 Bath, 128 m², Detached
"4 Cartron Heights, Sligo, Co. Sligo, F91YD9F",225000.0,4 Bed, 2 Bath, 137 m², Semi-D
"14 Rockfield Manor, Coolaney, Co. Sligo, F96K079",165000.0,0,0,0,0
"null, Monasteraden, Co. Sligo, F45DE24",39000.0,0,0,0,0
"Doon, Gurteen, Co. Sligo, F56P984",80000.0,0,0,0,0
"Ballytivnan House, Ballytivnan Road, Sligo, Co. Sligo, F91HK0W",530000.0,6 Bed, 3 Bath, 231 m², Detached
"Halfquarter, Dromard, Co. Sligo, F91W728",350000.0,0,0,0,0
"Maremma & Sunnyside, Shore Road, Strandhill, F91P266",595000.0,0,0,0,0
"Mullaghcor, Ballymote, Co. Sligo",55000.0,0,0,0,0
"Old Bundoran Road, Shannon Oughter, Sligo, Co. Sligo",175000.0,0,0,0,0
"Shannon Eighter, Sligo, Co. Sligo",190000.0,0,0,0,0
"17 The Park Drive, Strandhill Road, Sligo, Co. Sligo, F91YXP7",349000.0,3 Bed, 3 Bath, 109 m², Detached
"Lissaney, Ballymote, Co. Sligo, F56DY28",95000.0,0,0,0,0
"Tawnamore, Glaneaskey, Dromore West, Co. Sligo",80000.0,3 Bed, 2 Bath, 125 m², Detached
"Derrylehan, Grange, Co. Sligo, F91XC79",365000.0,5 Bed, 3 Bath, 299 m², Detached
"Apartment 2, Ocean Court, Sligo, Co. Sligo, F91CX26",195000.0,3 Bed, 2 Bath, 85 m², Apartment
"1 Cranmore Villas, Sligo, Co. Sligo, F91KP5C",159000.0,3 Bed, 1 Bath, 86 m², End of Terrace
"Castleview House, Easkey, Co. Sligo, F26N793",259000.0,4 Bed, 1 Bath, 92 m², Bungalow
"Development Site at Ardkeeran, Riverstown, Co. Sligo",169000.0,0,0,0,0
"77 Crozon Park, Sligo, Co. Sligo, F91E2VH",260000.0,6 Bed, 3 Bath, 174 m², Semi-D
"Apartment 20, Springvale, Tubbercurry, Co. Sligo, F91W993",115000.0,2 Bed, 2 Bath, 76 m², Apartment
"Cranfield House, Ballincar, Rosses Point, Co. Sligo, F91X236",485000.0,6 Bed, 3 Bath, 247 m², Detached
"Drinaghan, Enniscrone, Co. Sligo, F26H982",,0,0,0,0
"Cranfield House, Ballincar, Rosses Point Road, Sligo, F91X236",485000.0,6 Bed, 3 Bath, 247 m², Detached
"Dunbeakin, Templeboy, Co. Sligo, F91A3YN",188000.0,4 Bed, 4 Bath, 160 m², Detached
"1 Rathfinn Close, Strandhill Road, Sligo, Co. Sligo, F91YD5H",240000.0,3 Bed, 4 Bath, 110 m², End of Terrace
"12 Rathfinn Close, Strandhill Road, Sligo, Co. Sligo, F91EA3V",245000.0,3 Bed, 3 Bath, 109 m², Townhouse
"3 Parcels of land at Lislary (8.72 acres, 0.19 acres & 0.14 acres), Sligo, Co. Sligo",85000.0,0,0,0,0
"Spring Haven, Carrowkeel, Kilmacowen, F91K682",690000.0,4 Bed, 5 Bath, 353 m², Detached
